,name,location,labels
402,10359.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9914,7672.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9764,7537.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7949,5903.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10837,8502.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1541,11384.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11046,8691.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8162,6095.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
149,10130.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11895,9455.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1553,11395.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
683,10611.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6955,5008.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9744,7519.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6730,4806.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10773,8445.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9220,7047.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7554,5548.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7633,5618.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9814,7582.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5594,3783.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
384,10342.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11279,8900.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6331,4446.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2128,11912.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2914,1370.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
642,10575.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8559,6452.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8127,6062.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5425,3630.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9891,7651.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10813,8481.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
522,10467.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6990,5039.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5560,3752.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12224,9751.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
755,10677.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9183,7013.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11723,930.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12259,9783.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11365,8979.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9187,7017.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
371,10330.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9702,7481.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11776,9348.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5920,4077.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2753,12475.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1836,1165.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2928,1384.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5296,3514.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7146,518.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4069,241.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12493,9994.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6317,4433.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
304,10270.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1711,11537.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7362,5374.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9646,7430.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2435,1219.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
273,10242.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9594,7384.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10805,8474.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6663,4745.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8904,6763.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10648,8332.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1342,11204.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9750,7524.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3188,1618.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10423,813.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8331,6246.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4425,2730.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4863,3125.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5472,3674.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
241,10213.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9194,7023.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3937,2291.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8604,6493.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10222,795.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10983,8634.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7504,5502.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3185,1615.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7681,5662.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6499,4598.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10748,8422.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6131,4266.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2517,12262.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2743,12467.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10731,8407.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9823,7590.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4099,2438.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7167,52.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4049,2392.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12148,9683.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
53,10044.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6024,417.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4846,311.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8918,6776.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9571,7363.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3688,2067.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5415,3621.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12427,9934.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7135,517.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5772,3944.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7425,5431.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4984,3233.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7445,5449.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8765,6638.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3056,1499.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5826,3992.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1893,11700.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10048,7793.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2572,12312.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8964,6817.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9770,7542.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1122,11006.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2492,12240.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2754,12476.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1232,11105.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9321,7138.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1758,1158.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10147,7882.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12344,986.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
440,10393.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10059,7802.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8973,6825.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2751,12473.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1587,11425.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5214,3440.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10967,862.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9609,7398.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10519,8216.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
659,10590.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3016,1462.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8830,6697.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6346,4460.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8096,6035.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10103,7842.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7439,5443.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2540,12284.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10698,8378.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10858,8521.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9441,7246.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6306,4424.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5727,3902.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7137,5172.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8456,6359.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10025,7772.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11915,9473.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10602,8291.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11206,8835.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6416,4523.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10522,8219.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
719,10644.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12460,9964.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3286,1706.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10647,8331.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9514,7311.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2072,11862.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7595,5584.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11821,9389.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2459,1221.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3192,1621.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1858,1167.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8449,6353.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12257,9781.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8216,6143.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1770,11590.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7515,5511.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10116,7854.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5275,3497.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7564,5557.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5577,3769.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
530,10474.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2490,12238.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5550,3743.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3891,225.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7229,5254.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
37,1003.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2810,1278.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7456,546.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7345,5359.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5132,3367.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2487,12235.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10002,7751.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10435,8140.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11178,881.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11803,9372.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3485,1885.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9960,7713.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8561,6454.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3813,2180.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10526,8222.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3944,2298.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10638,8323.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7277,5298.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
532,10476.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10001,7750.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7492,5491.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12476,9979.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8120,6057.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9675,7457.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12228,9755.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3630,2015.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8633,6519.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1038,10931.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5742,3916.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8220,6147.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10556,825.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3320,1736.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1208,11084.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9346,7160.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6752,4825.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8491,6390.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4563,2856.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9554,7348.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4460,2762.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2229,12003.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
123,10107.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1614,1145.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12446,9951.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8910,6769.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
779,10699.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
470,1042.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11118,8756.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11542,9137.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5097,3335.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7949,5902.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4677,2958.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9019,6867.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11762,9335.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5929,4084.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8853,6717.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9295,7114.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4777,3047.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2508,12254.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2327,12092.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7670,5651.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8464,6367.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7096,5134.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12141,9677.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5501,370.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10662,8345.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4809,3077.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4451,2754.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2395,12153.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5629,3814.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9015,6863.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6253,4377.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2261,12031.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
737,10660.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10909,8568.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5726,3901.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10325,8041.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1234,11107.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
184,10162.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10643,8328.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1702,11529.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
999,10897.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3605,1993.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4540,2835.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3868,2229.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
